Symbol,AtomicNumber,AtomicMass,NumberofProtons,NumberofNeutrons,NumberofElectrons,Element,Period,Phase,Type,NumberofShells,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,SpecificHeat,Discoverer,Year
H,1,1.007,1,0,1,Hydrogen,1,gas,Nonmetal,1,0.79,2.2,13.5984,8.99e-05,14.175,20.28,14.304,Cavendish,1766
He,2,4.002,2,2,2,Helium,1,gas,Noble Gas,1,0.49,NA,24.5874,0.000179,NA,4.22,5.193,Janssen,1868
Li,3,6.941,3,4,3,Lithium,2,solid,Alkali Metal,2,2.1,0.98,5.3917,0.534,453.85,1615,3.582,Arfvedson,1817
Be,4,9.012,4,5,4,Beryllium,2,solid,Alkaline Earth Metal,2,1.4,1.57,9.3227,1.85,1560.15,2742,1.825,Vaulquelin,1798
B,5,10.811,5,6,5,Boron,2,solid,Metalloid,2,1.2,2.04,8.298,2.34,2573.15,4200,1.026,Gay-Lussac,1808
C,6,12.011,6,6,6,Carbon,2,solid,Nonmetal,2,0.91,2.55,11.2603,2.27,3948.15,4300,0.709,Prehistoric,NA
N,7,14.007,7,7,7,Nitrogen,2,gas,Nonmetal,2,0.75,3.04,14.5341,0.00125,63.29,77.36,1.04,Rutherford,1772
O,8,15.999,8,8,8,Oxygen,2,gas,Nonmetal,2,0.65,3.44,13.6181,0.00143,50.5,90.2,0.918,Priestley/Scheele,1774
F,9,18.998,9,10,9,Fluorine,2,gas,Halogen,2,0.57,3.98,17.4228,0.0017,53.63,85.03,0.824,Moissan,1886
Ne,10,20.18,10,10,10,Neon,2,gas,Noble Gas,2,0.51,NA,21.5645,9e-04,24.703,27.07,1.03,Ramsay and Travers,1898
Na,11,22.99,11,12,11,Sodium,3,solid,Alkali Metal,3,2.2,0.93,5.1391,0.971,371.15,1156,1.228,Davy,1807
Mg,12,24.305,12,12,12,Magnesium,3,solid,Alkaline Earth Metal,3,1.7,1.31,7.6462,1.74,923.15,1363,1.023,Black,1755
Al,13,26.982,13,14,13,Aluminum,3,solid,Metal,3,1.8,1.61,5.9858,2.7,933.4,2792,0.897,Wshler,1827
Si,14,28.086,14,14,14,Silicon,3,solid,Metalloid,3,1.5,1.9,8.1517,2.33,1683.15,3538,0.705,Berzelius,1824
P,15,30.974,15,16,15,Phosphorus,3,solid,Nonmetal,3,1.2,2.19,10.4867,1.82,317.25,553,0.769,BranBrand,1669
S,16,32.065,16,16,16,Sulfur,3,solid,Nonmetal,3,1.1,2.58,10.36,2.07,388.51,717.8,0.71,Prehistoric,NA
Cl,17,35.453,17,18,17,Chlorine,3,gas,Halogen,3,0.97,3.16,12.9676,0.00321,172.31,239.11,0.479,Scheele,1774
Ar,18,39.948,18,22,18,Argon,3,gas,Noble Gas,3,0.88,NA,15.7596,0.00178,83.96,87.3,0.52,Rayleigh and Ramsay,1894
K,19,39.098,19,20,19,Potassium,4,solid,Alkali Metal,4,2.8,0.82,4.3407,0.862,336.5,1032,0.757,Davy,1807
Ca,20,40.078,20,20,20,Calcium,4,solid,Alkaline Earth Metal,4,2.2,1,6.1132,1.54,1112.15,1757,0.647,Davy,1808
Sc,21,44.956,21,24,21,Scandium,4,solid,Transition Metal,4,2.1,1.36,6.5615,2.99,1812.15,3109,0.568,Nilson,1878
Ti,22,47.867,22,26,22,Titanium,4,solid,Transition Metal,4,2,1.54,6.8281,4.54,1933.15,3560,0.523,Gregor,1791
V,23,50.942,23,28,23,Vanadium,4,solid,Transition Metal,4,1.9,1.63,6.7462,6.11,2175.15,3680,0.489,   del Rio,1801
Cr,24,51.996,24,28,24,Chromium,4,solid,Transition Metal,4,1.9,1.66,6.7665,7.15,2130.15,2944,0.449,Vauquelin,1797
Mn,25,54.938,25,30,25,Manganese,4,solid,Transition Metal,4,1.8,1.55,7.434,7.44,1519.15,2334,0.479,Gahn. Scheele,1774
Fe,26,55.845,26,30,26,Iron,4,solid,Transition Metal,4,1.7,1.83,7.9024,7.87,1808.15,3134,0.449,Prehistoric,NA
Co,27,58.933,27,32,27,Cobalt,4,solid,Transition Metal,4,1.7,1.88,7.881,8.86,1768.15,3200,0.421,Brandt,1735
Ni,28,58.693,28,31,28,Nickel,4,solid,Transition Metal,4,1.6,1.91,7.6398,8.91,1726.15,3186,0.444,Cronstedt,1751
Cu,29,63.546,29,35,29,Copper,4,solid,Transition Metal,4,1.6,1.9,7.7264,8.96,1357.75,2835,0.385,Prehistoric,NA
Zn,30,65.38,30,35,30,Zinc,4,solid,Transition Metal,4,1.5,1.65,9.3942,7.13,692.88,1180,0.388,Prehistoric,NA
Ga,31,69.723,31,39,31,Gallium,4,solid,Metal,4,1.8,1.81,5.9993,5.91,302.91,2477,0.371,de Boisbaudran,1875
Ge,32,72.64,32,41,32,Germanium,4,solid,Metalloid,4,1.5,2.01,7.8994,5.32,1211.45,3106,0.32,Winkler,1886
As,33,74.922,33,42,33,Arsenic,4,solid,Metalloid,4,1.3,2.18,9.7886,5.78,1090.15,887,0.329,Albertus Magnus,1250
Se,34,78.96,34,45,34,Selenium,4,solid,Nonmetal,4,1.2,2.55,9.7524,4.81,494.15,958,0.321,Berzelius,1817
