,AtomicNumber,Element,Symbol,AtomicMass,AtomicRadius,NumberofShells,NumberofValence,Orbital,FirstIonization,Label
1,1,Hydrogen,H,1.007,0.79,1,1,s,13.5984,1
2,2,Helium,He,4.002,0.49,1,NA,s,24.5874,NA
3,3,Lithium,Li,6.941,2.1,2,1,s,5.3917,2
4,4,Beryllium,Be,9.012,1.4,2,2,s,9.3227,NA
5,5,Boron,B,10.811,1.2,2,3,p,8.298,NA
6,6,Carbon,C,12.011,0.91,2,4,p,11.2603,NA
7,7,Nitrogen,N,14.007,0.75,2,5,p,14.5341,NA
8,8,Oxygen,O,15.999,0.65,2,6,p,13.6181,NA
9,9,Fluorine,F,18.998,0.57,2,7,p,17.4228,NA
10,10,Neon,Ne,20.18,0.51,2,8,p,21.5645,NA
11,11,Sodium,Na,22.99,2.2,3,1,s,5.1391,3
12,12,Magnesium,Mg,24.305,1.7,3,2,s,7.6462,NA
13,13,Aluminum,Al,26.982,1.8,3,3,p,5.9858,NA
14,14,Silicon,Si,28.086,1.5,3,4,p,8.1517,NA
15,15,Phosphorus,P,30.974,1.2,3,5,p,10.4867,NA
16,16,Sulfur,S,32.065,1.1,3,6,p,10.36,NA
17,17,Chlorine,Cl,35.453,0.97,3,7,p,12.9676,NA
18,18,Argon,Ar,39.948,0.88,3,8,p,15.7596,NA
19,19,Potassium,K,39.098,2.8,4,1,s,4.3407,4
20,20,Calcium,Ca,40.078,2.2,4,2,s,6.1132,NA
21,21,Scandium,Sc,44.956,2.1,4,NA,d,6.5615,NA
22,22,Titanium,Ti,47.867,2,4,NA,d,6.8281,NA
23,23,Vanadium,V,50.942,1.9,4,NA,d,6.7462,NA
24,24,Chromium,Cr,51.996,1.9,4,NA,d,6.7665,NA
25,25,Manganese,Mn,54.938,1.8,4,NA,d,7.434,NA
26,26,Iron,Fe,55.845,1.7,4,NA,d,7.9024,NA
27,27,Cobalt,Co,58.933,1.7,4,NA,d,7.881,NA
28,28,Nickel,Ni,58.693,1.6,4,NA,d,7.6398,NA
29,29,Copper,Cu,63.546,1.6,4,NA,d,7.7264,NA
30,30,Zinc,Zn,65.38,1.5,4,NA,d,9.3942,NA
31,31,Gallium,Ga,69.723,1.8,4,3,p,5.9993,NA
32,32,Germanium,Ge,72.64,1.5,4,4,p,7.8994,NA
33,33,Arsenic,As,74.922,1.3,4,5,p,9.7886,NA
34,34,Selenium,Se,78.96,1.2,4,6,p,9.7524,NA
35,35,Bromine,Br,79.904,1.1,4,7,p,11.8138,NA
36,36,Krypton,Kr,83.798,1,4,8,p,13.9996,NA
37,37,Rubidium,Rb,85.468,3,5,1,s,4.1771,5
38,38,Strontium,Sr,87.62,2.5,5,2,s,5.6949,NA
39,39,Yttrium,Y,88.906,2.3,5,NA,d,6.2173,NA
40,40,Zirconium,Zr,91.224,2.2,5,NA,d,6.6339,NA
41,41,Niobium,Nb,92.906,2.1,5,NA,d,6.7589,NA
42,42,Molybdenum,Mo,95.96,2,5,NA,d,7.0924,NA
43,43,Technetium,Tc,98,2,5,NA,d,7.28,NA
44,44,Ruthenium,Ru,101.07,1.9,5,NA,d,7.3605,NA
45,45,Rhodium,Rh,102.906,1.8,5,NA,d,7.4589,NA
46,46,Palladium,Pd,106.42,1.8,5,NA,d,8.3369,NA
47,47,Silver,Ag,107.868,1.8,5,NA,d,7.5762,NA
48,48,Cadmium,Cd,112.411,1.7,5,NA,d,8.9938,NA
49,49,Indium,In,114.818,2,5,3,p,5.7864,NA
50,50,Tin,Sn,118.71,1.7,5,4,p,7.3439,NA
51,51,Antimony,Sb,121.76,1.5,5,5,p,8.6084,NA
52,52,Tellurium,Te,127.6,1.4,5,6,p,9.0096,NA
53,53,Iodine,I,126.904,1.3,5,7,p,10.4513,NA
54,54,Xenon,Xe,131.293,1.2,5,8,p,12.1298,NA
